1600	451	1288	281	0.2322404372	1.26731E-006
1620	832	1978	470	0.2780337942	3.9104E-006
1640	1189	2836	772	0.2126466089	9.17908E-006
1660	1562	3183	1088	0.1788679245	1.699456E-005
1680	2084	4729	1654	0.115034778	3.446936E-005
1700	3095	6183	2313	0.1446005917	7.158735E-005
1720	3815	7600	3189	0.0893774986	0.0001216604
1740	4644	9645	4074	0.0653819683	0.0001891966
1760	6408	12216	5385	0.086746375	0.0003450708
1780	7698	14745	6775	0.0637739239	0.0005215395
1800	9093	18287	8648	0.0250831407	0.0007863626
1820	12081	21066	10945	0.0493355337	0.0013222655
1840	14148	27294	13284	0.031496063	0.0018794203
1860	19136	34840	16686	0.0683937245	0.003193033
1880	32146	48793	19968	0.2336800092	0.0064189133
1900	53110	66713	21913	0.415832478	0.0116379943

